municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
LUÍS DOMINGUES,MARANHÃO,Amazônia,-1.438603606557377,-45.91100715300545,11.332514,Alto,0.12053668025532308,-0.992708874098054,22.162857142857142,0.30357142857142855
LUÍS EDUARDO MAGALHÃES,BAHIA,Cerrado,-12.17423414295359,-45.86135339409284,22.524181,Alto,0.12053668025532308,-0.992708874098054,10.81916083916084,33.31468531468531
LUÍS GOMES,RIO GRANDE DO NORTE,Caatinga,-6.379224988344987,-38.40309736596736,14.215501,Alto,0.12053668025532308,-0.992708874098054,1.2653968253968253,55.682539682539684
LÁBREA,AMAZONAS,Amazônia,-8.988873666852212,-66.10118270441905,33.37044,Alto,0.12053668025532308,-0.992708874098054,1569.144238410596,12.43046357615894
MACAJUBA,BAHIA,Caatinga,-12.133348523809522,-40.25957072380953,11.893892,Alto,0.12053668025532308,-0.992708874098054,1.0323076923076921,28.931623931623932
MACAMBIRA,SERGIPE,Caatinga,-10.686718095238096,-37.62681714285715,7.9743285,Médio,0.12053668025532308,-0.992708874098054,0.03923076923076923,18.46153846153846
MACAPARANA,PERNAMBUCO,Mata Atlântica,-7.530070624999999,-35.4461584375,8.143297,Médio,0.12053668025532308,-0.992708874098054,2.5403571428571428,28.142857142857142
MACAPÁ,AMAPÁ,Amazônia,0.479310785030242,-50.79030303874748,13.310186,Alto,0.12053668025532308,-0.992708874098054,70.28730769230769,13.39423076923077
MACARANI,BAHIA,Mata Atlântica,-15.594728370786514,-40.42707583547351,13.014911,Alto,0.12053668025532308,-0.992708874098054,6.542037037037037,21.48148148148148
MACATUBA,SÃO PAULO,Cerrado,-22.539177594650205,-48.81009172119341,14.76356,Alto,0.12053668025532308,-0.992708874098054,6.261578947368421,6.748538011695906
MACAU,RIO GRANDE DO NORTE,Caatinga,-5.237433448275862,-36.53931137931034,9.814722,Médio,0.12053668025532308,-0.992708874098054,0.8935000000000001,23.05
MACAÉ,RIO DE JANEIRO,Mata Atlântica,-22.320149205357136,-41.877067410714275,7.6599464,Médio,0.12053668025532308,-0.992708874098054,1.8866666666666667,10.453333333333333
MACAÍBA,RIO GRANDE DO NORTE,Caatinga,-5.913643378906252,-35.435366095703124,8.881633,Médio,0.12053668025532308,-0.992708874098054,0.9243181818181818,26.46969696969697
MACAÚBAS,BAHIA,Caatinga,-13.08031049266862,-42.61689977008798,15.542198,Alto,0.12053668025532308,-0.992708874098054,9.226492537313433,23.582089552238806
MACEDÔNIA,SÃO PAULO,Mata Atlântica,-20.09988321256039,-50.222502855072456,23.286863,Alto,0.12053668025532308,-0.992708874098054,14.7325,7.178571428571429
MACEIÓ,ALAGOAS,Mata Atlântica,-9.508840021367522,-35.71392068803419,16.521492,Alto,0.12053668025532308,-0.992708874098054,2.976770833333333,6.6875
MACHADINHO D'OESTE,RONDÔNIA,Amazônia,-9.197446259019426,-62.030958149259966,21.40505,Alto,0.12053668025532308,-0.992708874098054,172.82021582733813,12.007194244604317
MACHADO,MINAS GERAIS,Mata Atlântica,-21.636825602140078,-45.97430983365761,8.259294,Médio,0.12053668025532308,-0.992708874098054,2.850602409638554,9.385542168674698
MACHADOS,PERNAMBUCO,Caatinga,-7.717981666666668,-35.499,3.612539,Baixo,0.12053668025532308,-0.992708874098054,0.0,9.333333333333334
MACIEIRA,SANTA CATARINA,Mata Atlântica,-26.818445991379313,-51.33426806034481,7.2169647,Médio,0.12053668025532308,-0.992708874098054,3.0345999999999997,6.46
MACURURÉ,BAHIA,Caatinga,-9.282846878612718,-38.90911427745665,13.686742,Alto,0.12053668025532308,-0.992708874098054,0.03361702127659574,39.212765957446805
MADALENA,CEARÁ,Caatinga,-4.845508489033304,-39.528896165718926,13.500137,Alto,0.12053668025532308,-0.992708874098054,0.6775949367088607,49.36708860759494
MADEIRO,PIAUÍ,Caatinga,-3.537434248927038,-42.50554360515021,15.652327,Alto,0.12053668025532308,-0.992708874098054,3.6031325301204817,13.963855421686747
MADRE DE DEUS DE MINAS,MINAS GERAIS,Mata Atlântica,-21.46274948410758,-44.31585359902199,9.200525,Médio,0.12053668025532308,-0.992708874098054,1.3490000000000002,15.871428571428572
MAFRA,SANTA CATARINA,Mata Atlântica,-26.190005497737562,-49.90777687782806,6.3337755,Médio,0.12053668025532308,-0.992708874098054,4.380909090909091,5.4772727272727275
MAGALHÃES BARATA,PARÁ,Amazônia,-0.8345851589595373,-47.62021424710983,12.465579,Alto,0.12053668025532308,-0.992708874098054,7.595138888888889,13.26388888888889
MAGALHÃES DE ALMEIDA,MARANHÃO,Caatinga,-3.3416220597014927,-42.174724762686566,19.354195,Alto,0.12053668025532308,-0.992708874098054,6.420061349693252,21.39877300613497
