municipio,estado,bioma,latitude,longitude,municipio_y,probabilidade,semana,precipitacao_total,dias_sem_chuva_max
SANTANA DO IPANEMA,ALAGOAS,Caatinga,-9.3584975,-37.220656250000005,3353,0.9861411,25,33.70325167092281,4.5
SANTANA DO MARANHÃO,MARANHÃO,Cerrado,-3.2181288405797104,-42.63977086956522,3354,0.9900135,25,30.44992224655363,14.318965517241379
SANTANA DO MATOS,RIO GRANDE DO NORTE,Caatinga,-5.9206140000000005,-36.681696,3355,0.98427594,25,23.550969534122096,29.2
SANTANA DO PARAÍSO,MINAS GERAIS,Mata Atlântica,-19.349005363636362,-42.579281,3356,0.97177535,25,35.4890744746733,42.7
SANTANA DO PIAUÍ,PIAUÍ,Caatinga,-6.951492,-41.482427,3357,0.9702968,25,31.070682112218734,20.944444444444443
SANTANA DO RIACHO,MINAS GERAIS,Cerrado,-19.242356363636365,-43.573356363636364,3358,0.9720562,25,37.76001623258447,60.75
SANTANA DO SÃO FRANCISCO,SERGIPE,Mata Atlântica,-10.27407,-36.64936,3359,0.9847445,25,33.42784678673861,17.5
SANTANA DOS GARROTES,PARAÍBA,Caatinga,-7.40326,-37.96915,3360,0.99999833,25,14.797828572248207,6.0
SANTANA DOS MONTES,MINAS GERAIS,Mata Atlântica,-20.79757,-43.64297,3361,0.0025299173,25,19.672913128990764,1.5
SANTARÉM,PARÁ,Amazônia,-2.7302749929577463,-54.53423072535212,3362,0.99769956,25,29.832736233753373,4.135869565217392
SANTARÉM NOVO,PARÁ,Amazônia,-0.9175249999999999,-47.3220475,3363,0.9963446,25,36.09941380876334,4.75
SANTIAGO,RIO GRANDE DO SUL,Mata Atlântica,-29.300625,-54.632205,3364,0.9713307,25,21.083726720653885,4.125
SANTIAGO,RIO GRANDE DO SUL,Pampa,-29.17082,-55.040625000000006,3364,0.9713307,25,21.083726720653885,4.125
SANTIAGO DO SUL,SANTA CATARINA,Mata Atlântica,-26.6106,-52.70689,3365,0.0014325469,25,29.868727692034554,0.5
SANTO AFONSO,MATO GROSSO,Amazônia,-14.44265,-57.38705,3366,0.0064522647,25,32.712411830490396,2.0
SANTO AMARO,BAHIA,Mata Atlântica,-12.57654,-38.7864025,3367,0.98730797,25,39.89503559876602,5.625
SANTO AMARO DAS BROTAS,SERGIPE,Mata Atlântica,-10.735126,-36.95462,3368,0.986048,25,26.207430843247902,6.0
SANTO AMARO DO MARANHÃO,MARANHÃO,Cerrado,-2.7879813333333336,-43.14763266666667,3369,0.99073505,25,30.355452781125454,12.423076923076923
SANTO ANDRÉ,PARAÍBA,Caatinga,-7.18195,-36.62973,3370,0.9585425,25,35.909505747125934,25.0
SANTO ANDRÉ,SÃO PAULO,Mata Atlântica,-23.66221,-46.51724,3370,0.9585425,25,35.909505747125934,25.0
SANTO ANTÔNIO,RIO GRANDE DO NORTE,Caatinga,-6.365225000000001,-35.453575,3371,0.9615126,25,19.389318075654636,5.0
SANTO ANTÔNIO DA ALEGRIA,SÃO PAULO,Cerrado,-21.057058,-47.199986,3372,0.98421866,25,28.611666185479258,6.75
SANTO ANTÔNIO DA BARRA,GOIÁS,Cerrado,-17.551669999999998,-50.671845,3373,0.98522854,25,32.417681665222254,16.0
SANTO ANTÔNIO DA PATRULHA,RIO GRANDE DO SUL,Mata Atlântica,-29.77295,-50.58302,3374,0.986214,25,23.477864938960522,3.8333333333333335
SANTO ANTÔNIO DA PATRULHA,RIO GRANDE DO SUL,Pampa,-30.011355000000002,-50.55926,3374,0.986214,25,23.477864938960522,3.8333333333333335
SANTO ANTÔNIO DA PLATINA,PARANÁ,Mata Atlântica,-23.21117,-50.14106666666667,3375,0.0011438162,25,32.81469582199575,2.6666666666666665
SANTO ANTÔNIO DAS MISSÕES,RIO GRANDE DO SUL,Pampa,-28.49012,-55.4679675,3376,0.98507833,25,33.84407581879316,3.5
SANTO ANTÔNIO DE GOIÁS,GOIÁS,Cerrado,-16.481226666666668,-49.29386333333334,3377,0.98549217,25,32.45737235910599,24.5
SANTO ANTÔNIO DE JESUS,BAHIA,Mata Atlântica,-12.9492,-39.1964,3378,0.98242366,25,48.141242830544094,5.0
SANTO ANTÔNIO DE LISBOA,PIAUÍ,Caatinga,-6.951514,-41.261552,3379,0.9719733,25,30.2337292993257,9.3
SANTO ANTÔNIO DE POSSE,SÃO PAULO,Cerrado,-22.5837,-46.95334,3380,0.97177535,25,35.31735892489661,8.666666666666666
SANTO ANTÔNIO DE POSSE,SÃO PAULO,Mata Atlântica,-22.599895,-46.92273,3380,0.97177535,25,35.31735892489661,8.666666666666666
SANTO ANTÔNIO DE PÁDUA,RIO DE JANEIRO,Mata Atlântica,-21.52122857142857,-42.18227,3381,0.98757356,25,31.798313626059088,7.166666666666667
SANTO ANTÔNIO DO AMPARO,MINAS GERAIS,Mata Atlântica,-20.873915,-44.9046,3382,0.97945446,25,29.48122440480676,14.0
SANTO ANTÔNIO DO ARACANGUÁ,SÃO PAULO,Mata Atlântica,-20.872381739130436,-50.46849617391304,3383,0.9809777,25,30.288679503240928,7.823529411764706
SANTO ANTÔNIO DO AVENTUREIRO,MINAS GERAIS,Mata Atlântica,-21.77547,-42.7957,3384,0.0006614462,25,38.40112072291895,1.5
SANTO ANTÔNIO DO CAIUÁ,PARANÁ,Mata Atlântica,-22.63839,-52.41408,3385,0.9675683,25,37.75793751229146,5.5
